,reviewer_name,reviewer_name_idx,hotel_id,hotel_idx,score
0,angela,299,18_30,427.0,11.002099990844727
1,angela,299,39_17,293.0,10.826192855834961
2,angela,299,7_9,335.0,10.675894737243652
3,Matthew,305,12_13,323.0,10.916361808776855
4,Matthew,305,7_9,335.0,10.910167694091797
5,Matthew,305,18_30,427.0,10.898594856262207
6,Leeseul,496,18_30,427.0,10.59632396697998
7,Leeseul,496,11_28,6.0,9.950887680053711
8,Leeseul,496,6_29,7.0,9.941784858703613
9,Tra,558,18_30,427.0,11.172457695007324
10,Tra,558,7_9,335.0,10.875570297241211
11,Tra,558,12_13,323.0,10.86347770690918
12,giang,596,18_30,427.0,11.217607498168945
13,giang,596,7_9,335.0,10.815546989440918
14,giang,596,12_13,323.0,10.799643516540527
15,JiAhn,692,18_30,427.0,11.281609535217285
16,JiAhn,692,7_9,335.0,10.70145034790039
17,JiAhn,692,12_13,323.0,10.699732780456543
18,Elena,769,18_30,427.0,10.821980476379395
19,Elena,769,16_14,415.0,10.474571228027344
20,Elena,769,16_15,248.0,10.3737154006958
21,tuong,934,18_30,427.0,10.910869598388672
22,tuong,934,7_9,335.0,10.658721923828125
23,tuong,934,12_13,323.0,10.650003433227539
24,Leo,1051,18_30,427.0,11.522594451904297
25,Leo,1051,7_9,335.0,11.260170936584473
26,Leo,1051,12_13,323.0,11.24494743347168
27,jinkyung,1761,18_30,427.0,10.095843315124512
28,jinkyung,1761,7_9,335.0,9.840625762939453
29,jinkyung,1761,12_13,323.0,9.832024574279785
30,Michel,2734,18_30,427.0,11.346016883850098
31,Michel,2734,7_9,335.0,10.77212142944336
32,Michel,2734,12_13,323.0,10.759654998779297
33,chae,2815,18_30,427.0,11.272683143615723
34,chae,2815,7_9,335.0,10.781447410583496
35,chae,2815,12_13,323.0,10.77639389038086
36,yasutaka,2862,18_30,427.0,8.725488662719727
37,yasutaka,2862,7_9,335.0,8.446608543395996
38,yasutaka,2862,12_13,323.0,8.433717727661133
39,HyunSoo,3597,18_30,427.0,11.06800365447998
40,HyunSoo,3597,7_9,335.0,10.805508613586426
41,HyunSoo,3597,12_13,323.0,10.795832633972168
42,SANGUN,3901,18_30,427.0,8.4116849899292
43,SANGUN,3901,7_9,335.0,8.212188720703125
44,SANGUN,3901,12_13,323.0,8.204830169677734
