,word,count,pct
0,không,5039,10.6
1,phòng,4914,10.3
2,chúng tôi,1887,4.0
3,tốt,1743,3.7
4,viên,1640,3.4
5,sạn,1590,3.3
6,nhân,1587,3.3
7,không phải,1396,2.9
8,khách sạn,1242,2.6
9,tốt”,1192,2.5
10,đẹp,1163,2.4
11,đi,1113,2.3
12,hài,1093,2.3
13,biển,995,2.1
14,lòng”,891,1.9
15,giá,884,1.9
16,tiện,851,1.8
17,trí,768,1.6
18,sạch,768,1.6
19,vị,764,1.6
20,nhân viên,751,1.6
21,hơi,728,1.5
22,vụ,697,1.5
23,”,685,1.4
24,máy,679,1.4
25,cái đó,677,1.4
26,tân,638,1.3
27,lễ,601,1.3
28,đêm,584,1.2
29,ở lại,555,1.2
30,điều này,545,1.1
31,có thể,536,1.1
32,đã có,527,1.1
33,đồ,522,1.1
34,phong cảnh,512,1.1
35,ổn,508,1.1
36,tắm,501,1.1
37,bơi,490,1.0
38,tâm,479,1.0
39,hàng,477,1.0
40,cũ,475,1.0
41,giường,462,1.0
42,kiểm tra,454,1.0
43,phương sách,443,0.9
44,tình,434,0.9
45,hợp,431,0.9
46,dịch,425,0.9
47,vị trí,409,0.9
48,bãi,406,0.9
49,nhiệt,405,0.9
