,word,count,pct
0,phòng,29246,7.0
1,tuyệt,26929,6.5
2,vời”,20378,4.9
3,tốt,20111,4.8
4,sạn,16541,4.0
5,đẹp,16452,4.0
6,viên,15957,3.8
7,nhân,15547,3.7
8,không,15160,3.7
9,sạch,13623,3.3
10,biển,11748,2.8
11,chúng tôi,10366,2.5
12,tiện,9982,2.4
13,khách sạn,9959,2.4
14,đi,9189,2.2
15,giá,8735,2.1
16,tình,7515,1.8
17,nhiệt,7343,1.8
18,”,7111,1.7
19,phong cảnh,6780,1.6
20,thân,6768,1.6
21,trí,6767,1.6
22,vị,6730,1.6
23,thiện,6556,1.6
24,vụ,6441,1.6
25,ở lại,6412,1.5
26,nhân viên,6310,1.5
27,tâm,5720,1.4
28,vời,5130,1.2
29,hơi,4930,1.2
30,nghỉ,4701,1.1
31,dịch,4456,1.1
32,bơi,4362,1.1
33,tốt”,4192,1.0
34,너무,3963,1.0
35,hợp,3950,1.0
36,điều này,3893,0.9
37,rộng,3787,0.9
38,bãi,3744,0.9
39,đêm,3658,0.9
40,đồ,3588,0.9
41,phương sách,3569,0.9
42,tuyệt quá,3551,0.9
43,đình,3520,0.8
44,không phải,3431,0.8
45,hài,3382,0.8
46,bờ biển,3335,0.8
47,của tôi,3275,0.8
48,có thể,3166,0.8
49,vị trí,3101,0.7
