,word,count,pct
0,phòng,27,7.0
1,tuyệt,25,6.5
2,vời”,22,5.7
3,sạn,20,5.2
4,tốt,20,5.2
5,sạch,16,4.2
6,nhân,15,3.9
7,viên,15,3.9
8,thân,9,2.3
9,thiện,9,2.3
10,tiện,9,2.3
11,giá,9,2.3
12,biển,8,2.1
13,chúng tôi,8,2.1
14,vụ,7,1.8
15,tâm,7,1.8
16,trí,7,1.8
17,đẹp,6,1.6
18,vị,6,1.6
19,khách sạn,6,1.6
20,hợp,6,1.6
21,dọn dẹp,6,1.6
22,dịch,5,1.3
23,không,5,1.3
24,nằm,5,1.3
25,hơi,5,1.3
26,thành,5,1.3
27,đi,5,1.3
28,đình,5,1.3
29,nhân viên,5,1.3
30,많이,5,1.3
31,호텔,5,1.3
32,가성비,5,1.3
33,좋고,5,1.3
34,и,5,1.3
35,bơi,4,1.0
36,tắm,4,1.0
37,phố,4,1.0
38,tiền,4,1.0
39,rẻ,4,1.0
40,”,4,1.0
41,good”,4,1.0
42,phong cảnh,4,1.0
43,hữu ích,4,1.0
44,vị trí,4,1.0
45,깨끗하고,4,1.0
46,호텔”,4,1.0
47,bữa,3,0.8
48,đơn,3,0.8
49,đồ,3,0.8
